product_name,price,product_url,image_url,category_name
PLASTİK DANTELLİ RENKLİ YELPAZE 12’Lİ,"42,00₺",https://istockina.com/urun/plastik-dantelli-renkli-yelpaze-12li/,https://istockina.com/wp-content/uploads/2025/10/PLASTIK-DANTELLI-KIRMIZI-YELPAZE-768x1152.jpg,Kina Malzemeleri
KIRMIZI KUMAŞ GÜLLÜ SEPET TEPSİ TAKIMI,"325,00₺",https://istockina.com/urun/kirmizi-kumas-gullu-sepet-tepsi-takimi/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-KUMAS-GULLU-SEPET-TAKIMI-768x1152.jpg,Kina Malzemeleri
KIRMIZI PONPON SEPET TEPSİ TAKIMI,"325,00₺",https://istockina.com/urun/kirmizi-ponpon-sepet-tepsi-takimi/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-PONPON-SEPET-TAKIMI-768x1152.jpg,Kina Malzemeleri
10’LU SİMELYA KADİFE SİMLİ GELİN KEMERİ,"35,00₺",https://istockina.com/urun/10lu-simelya-kadife-simli-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/LILA-TASLI-SIMELYA-GELIN-KEMERI-768x1152.jpg,Kina Malzemeleri
MUMTAZ 12’Lİ TÜP HENNA KINA,"300,00₺",https://istockina.com/urun/mumtaz-12li-tup-henna-kina/,https://istockina.com/wp-content/uploads/2025/10/MUMTAZ-12-LI-TUP-KINA-768x1152.jpg,Kina Malzemeleri
10’LU ALIM AHŞAP YELPAZE TÜYLÜ 60 CM,"95,00₺",https://istockina.com/urun/10lu-alim-ahsap-yelpaze-tuylu-60-cm/,https://istockina.com/wp-content/uploads/2025/10/BORDO-AHSAP-YELPAZE-768x1152.jpg,Kina Malzemeleri
AHŞAP YELPAZE TÜYLÜ 60 CM,"95,00₺",https://istockina.com/urun/ahsap-yelpaze-tuylu-60-cm/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-AHSAPO-YELPAZE-768x1152.jpg,Kina Malzemeleri
30 CM İÇİ BOŞ ZİLLİ KASNAK TEF,"50,00₺",https://istockina.com/urun/30-cm-ici-bos-zilli-kasnak-tef/,https://istockina.com/wp-content/uploads/2025/10/30-CM-BOS-KASNAK-TEF-768x1152.jpg,Kina Malzemeleri
KIRMIZI ÇİFT PARALI ŞERİTLİ  SEPET TAKIMI,"1.000,00₺",https://istockina.com/urun/kirmizi-cift-parali-seritli-sepet-takimi/,https://istockina.com/wp-content/uploads/2025/10/kirmizi-cift-parali-sepet-takimi-768x1152.jpg,Kina Malzemeleri
BORDO ÇİFT PARALI ŞERİTLİ  SEPET TAKIMI,"1.000,00₺",https://istockina.com/urun/bordo-cift-parali-seritli-sepet-takimi/,https://istockina.com/wp-content/uploads/2025/10/BORDO-CIFT-PARALI-SERITLI-SEPET-TAKIMI-768x1152.jpg,Kina Malzemeleri
